release_year,metascore,app_name
1998,96,Half-Life
2006,84,Disciples II: Gallean's Return
2006,80,Disciples II: Rise of the Elves
2006,76,The Ship: Murder Party
2005,70,Advent Rising
2006,84,DEFCON
2006,NA,The Ship: Single Player
2006,NA,Garry's Mod
2006,NA,RACE - The WTCC Game
2006,NA,Zen of Sudoku
2006,69,Gumboy - Crazy Adventures™
2003,81,Ghost Master®
2006,NA,Vegas: Make It Big™
2006,75,Dreamfall: The Longest Journey
2006,76,FlatOut 2™
2005,72,FlatOut
2007,66,Lost Planet™: Extreme Condition
2006,67,CivCity: Rome
2002,77,Arx Fatalis
2000,91,The Longest Journey
2006,84,Civilization IV®: Warlords
2003,80,Railroad Tycoon 3
2006,77,Sid Meier's Railroads!
1998,89,Railroad Tycoon II Platinum
2007,NA,RIP - Trilogy™
2007,83,Tomb Raider: Anniversary
2006,66,Devil May Cry® 3 Special Edition
2007,61,Vigil: Blood Bitterness™
1994,83,DOOM II
2001,88,Return to Castle Wolfenstein
2003,65,BloodRayne
2007,94,QUAKE
2007,57,Genesis Rising
2007,96,BioShock™
2006,86,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition"
2006,87,"Warhammer® 40,000: Dawn of War® - Dark Crusade"
2004,92,Rome: Total War™ - Collection
2006,79,Rome: Total War™ - Alexander
2004,75,Manhunt
2003,81,Midnight Club 2
2003,86,Max Payne 2: The Fall of Max Payne
2006,82,Tomb Raider: Legend
2001,89,Max Payne
2008,82,Command & Conquer: Red Alert 3
2007,84,PuzzleQuest: Challenge of the Warlords
2007,66,Culpa Innata
2007,NA,18 Wheels of Steel: American Long Haul
2008,58,Conflict: Denied Ops
2007,74,ARMA: Combat Operations
2006,67,Tycoon City: New York
2006,66,Desperados 2: Cooper's Revenge
2007,69,Death to Spies
2006,74,Act of War: High Treason
2006,81,RollerCoaster Tycoon® 3: Platinum
2005,82,Act of War: Direct Action
2003,75,Unreal 2: The Awakening
1998,NA,Unreal Gold
2008,57,Ninja Reflex: Steamworks Edition
2003,91,Tom Clancy's Splinter Cell®
2004,89,Far Cry®
2000,92,Unreal Tournament: Game of the Year Edition
2006,85,Tom Clancy's Rainbow Six® Vegas
2005,90,Silent Hunter® III
2007,58,Rayman Raving Rabbids™
2007,79,Silent Hunter®: Wolves of the Pacific
2006,86,IL-2 Sturmovik: 1946
2008,NA,Silent Hunter®: Wolves of the Pacific U-Boat Missions
2005,68,Bone: Out From Boneville
2005,NA,Midnight Outlaw: 6 Hours to SunUp
2006,76,Bone: The Great Cow Race
2008,NA,Sprint Cars Road to Knoxville
2008,NA,Dr. Daisy Pet Vet
2007,NA,Ride! Carnival Tycoon
2008,NA,Hot Dish
2007,NA,Mahjongg Investigations: Under Suspicion
2008,70,Dracula Origin
2008,NA,Beijing 2008™ - The Official Video Game of the Olympic Games
2008,71,Sherlock Holmes - Nemesis
2008,NA,Eternity's Child
2007,60,Pacific Storm Allies
2008,NA,Tank Universal
2008,79,FlatOut: Ultimate Carnage
1998,NA,Oddworld: Abe's Exoddus®
1997,NA,Oddworld: Abe's Oddysee®
2008,83,GTR Evolution Expansion Pack for RACE 07
2001,65,X-COM: Enforcer
1997,NA,X-COM: Apocalypse
1993,NA,X-COM: UFO Defense
2008,75,S.T.A.L.K.E.R.: Clear Sky
2008,84,Crysis Warhead®
2007,91,Crysis
1998,NA,X-COM: Interceptor
2008,86,The Witcher: Enhanced Edition Director's Cut
2008,76,Multiwinia
2008,NA,STCC - The Game 1 - Expansion Pack for RACE 07
2008,NA,Children of the Nile: Alexandria
2008,83,Sid Meier's Civilization IV: Colonization
2003,85,Tom Clancy's Rainbow Six® 3 Gold
2008,80,LEGO Batman
2008,NA,City Life 2008
