release_year,sentiment
2018,Mostly Positive
2017,Mostly Positive
2018,Mixed
2018,1 user reviews
2018,3 user reviews
1997,Very Positive
1998,Overwhelmingly Positive
2018,Mostly Positive
2018,Mixed
2006,Mostly Positive
2006,Very Positive
2006,Very Positive
2017,6 user reviews
2017,Mixed
2017,1 user reviews
2017,5 user reviews
2017,2 user reviews
2005,Mostly Positive
2006,Very Positive
2006,Mixed
2006,Overwhelmingly Positive
2006,Mostly Positive
2006,Very Positive
2006,Mixed
2003,Very Positive
2006,Mostly Positive
2006,Very Positive
2006,Very Positive
2005,Very Positive
2007,Mostly Positive
2006,Mostly Positive
2002,Very Positive
2000,Very Positive
2006,Very Positive
2003,Mostly Positive
2006,Mixed
1998,Very Positive
2007,Mixed
1995,Very Positive
2007,Very Positive
2006,Mixed
2006,Very Positive
1996,Very Positive
2007,Very Negative
2006,Positive
1995,Very Positive
1995,Very Positive
1994,Very Positive
1994,Very Positive
2001,Very Positive
1997,Very Positive
1993,Very Positive
2003,Mostly Positive
2007,Very Positive
2007,Overwhelmingly Positive
2007,Mostly Negative
2006,Very Positive
2007,Very Positive
2006,Overwhelmingly Positive
2006,Overwhelmingly Positive
2004,Very Positive
2006,Mostly Positive
2007,Mostly Positive
1998,Very Positive
1999,Very Positive
2004,Mixed
2003,Very Positive
2003,Very Positive
2006,Very Positive
2001,Very Positive
2008,Very Positive
2007,Very Positive
2007,Very Positive
2007,Very Negative
2007,Mostly Positive
2007,Mostly Positive
2008,Mixed
2007,Mixed
2006,Mostly Negative
2006,Mixed
2007,Mostly Positive
2006,Very Positive
2006,Very Positive
2005,Very Positive
2003,Mostly Positive
1998,Overwhelmingly Positive
2008,Positive
2003,Very Positive
2004,Very Positive
2000,Overwhelmingly Positive
2006,Mostly Positive
2005,Very Positive
2008,Positive
2008,9 user reviews
2008,Mixed
2008,Mostly Positive
2008,Mostly Positive
2008,Positive
2005,8 user reviews
2007,Positive
2007,Mixed
2005,Mixed
2007,Mostly Positive
2007,Mixed
2006,Very Positive
2008,Very Positive
2005,Mixed
2005,Negative
2006,Mixed
2008,Mixed
2008,3 user reviews
2007,Mixed
2008,4 user reviews
2007,7 user reviews
2008,Mixed
2008,Mostly Positive
2008,Negative
2007,Mixed
2008,Mixed
2008,Very Positive
1998,Very Positive
1997,Very Positive
2008,Positive
2001,Mixed
1997,Very Positive
1993,Overwhelmingly Positive
2008,Very Positive
2008,Very Positive
2007,Very Positive
1998,Mixed
2008,Very Positive
2008,Very Positive
2008,Positive
2008,Positive
2008,Mostly Positive
2003,Very Positive
2008,Very Positive
2008,Mixed
2008,Mostly Positive
2008,Very Positive
2008,Mixed
2006,Mixed
2006,Mostly Positive
2005,Very Positive
2007,Very Positive
2008,Mostly Positive
2007,4 user reviews
2002,Positive
2008,Very Positive
2008,Very Positive
2008,Very Positive
2008,Very Positive
2008,Mostly Positive
2008,Mixed
2008,Very Positive
2008,Mostly Positive
2008,Mixed
2009,2 user reviews
2009,3 user reviews
2009,1 user reviews
2009,Mostly Positive
2008,Very Positive
2008,Mostly Positive
2009,Very Positive
2008,Overwhelmingly Positive
2009,Very Positive
2008,Mostly Positive
2007,Mostly Positive
2009,Mostly Positive
2005,Very Positive
2009,Very Positive
2009,Positive
2009,Mixed
2007,Very Positive
2007,Very Positive
2009,Very Positive
2009,Mostly Negative
2008,Mixed
2009,Very Positive
2009,Very Positive
2009,3 user reviews
2009,Very Positive
2009,Mostly Positive
2009,Mixed
2009,Mixed
2005,6 user reviews
2008,Positive
2009,Mixed
2009,Mixed
2009,Mostly Positive
2009,Mixed
2009,Mixed
2009,Very Positive
2009,1 user reviews
2008,Very Positive
2009,Mostly Positive
2009,Mixed
2005,Very Positive
2002,Mixed
2009,Positive
2009,Very Positive
2009,Very Positive
2009,Mostly Positive
2004,Mixed
2006,Mostly Positive
2007,Very Positive
2002,Very Positive
2009,Very Positive
2007,Mixed
1999,Mostly Positive
1998,Mostly Positive
2008,Mixed
2009,Very Positive
2007,Positive
2006,Positive
2008,Positive
2007,Positive
2008,Very Positive
2009,Mostly Positive
2009,Very Positive
2009,Mostly Positive
2007,Very Positive
1992,Very Positive
2003,Very Positive
2005,Very Positive
1989,Mostly Positive
2008,Mostly Positive
2009,Overwhelmingly Positive
2008,Mostly Positive
2009,Mostly Positive
2009,Mixed
2009,3 user reviews
2006,Mostly Positive
2006,Mostly Positive
2007,Mostly Positive
2006,Mostly Positive
2009,Positive
2008,Mixed
2009,Very Positive
2009,9 user reviews
2008,Mostly Positive
2009,Mostly Positive
2009,Mixed
2009,Mixed
2003,Very Positive
2009,Very Positive
1998,Very Positive
2001,Very Positive
1999,Very Positive
2000,Very Positive
2009,Positive
2009,Positive
2009,Positive
2009,Positive
2009,Very Positive
2005,Very Positive
2009,Mixed
2009,Mixed
2009,Mostly Positive
2009,Mixed
2009,Very Positive
2009,Very Positive
2009,Mixed
2009,Mostly Positive
2009,Positive
2009,Very Positive
2009,Positive
2009,Mixed
2009,Very Positive
2009,Very Positive
2009,Mostly Positive
2009,Mostly Positive
2009,Overwhelmingly Positive
2007,Mostly Positive
2009,Mostly Positive
2009,Very Positive
2009,Very Positive
2009,Very Positive
2009,1 user reviews
2009,Mostly Negative
2009,Mostly Positive
2009,Very Positive
2009,Very Positive
2009,Mixed
2009,Very Positive
2009,Very Positive
2009,Very Positive
2005,9 user reviews
2003,9 user reviews
2009,Mostly Positive
2009,Very Positive
2009,Mostly Positive
2009,Very Positive
2009,Mostly Positive
2009,Mostly Positive
2009,Mostly Positive
