release_year,specs
2018,['Single-player']
2018,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'In-App Purchases', 'Stats']"
2017,['Single-player']
2018,"['Single-player', 'Steam Achievements']"
2018,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']"
2018,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']"
2018,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']"
2018,"['Single-player', 'Multi-player', 'Partial Controller Support']"
2018,"['Single-player', 'Steam Achievements']"
2018,['Single-player']
2018,['Single-player']
2018,"['Single-player', 'Steam Achievements', 'Steam Cloud']"
2018,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']"
2018,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']"
2018,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']"
2018,['Single-player']
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']"
2017,"['Single-player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Partial Controller Support', 'Steam Leaderboards']"
2018,"['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support']"
1997,"['Single-player', 'Multi-player', 'Steam Trading Cards']"
1998,"['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']"
2016,['Single-player']
2018,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Stats', 'Steam Leaderboards', 'Steam Turn Notifications']"
2018,"['Single-player', 'Full controller support']"
2018,['Single-player']
2018,"['Online Multi-Player', 'MMO', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Turn Notifications']"
2017,"['Single-player', 'Steam Achievements']"
