price,release_year,early_access,genres
4.99,2018,False,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']"
0.0,2018,False,"['Free to Play', 'Indie', 'RPG', 'Strategy']"
0.0,2017,False,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']"
0.99,2017,False,"['Action', 'Adventure', 'Casual']"
3.99,2018,False,"['Action', 'Adventure', 'Simulation']"
9.99,2018,False,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
18.99,2018,False,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
29.99,2018,False,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
10.99,2018,False,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
3.99,2018,False,"['Casual', 'Indie']"
2.99,2018,False,"['Casual', 'Indie', 'Simulation']"
1.59,2018,False,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']"
14.99,2018,False,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
1.99,2018,False,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']"
59.99,2018,False,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
0.99,2018,False,"['Action', 'Adventure', 'Indie']"
2.99,2017,False,"['Racing', 'Simulation', 'Sports']"
2.99,2017,False,"['Racing', 'Simulation', 'Sports']"
4.99,2018,False,"['Action', 'Indie']"
9.99,1997,False,"['Action', 'Indie', 'Racing']"
9.99,1998,False,['Action']
1.99,2016,False,"['Action', 'Indie', 'RPG']"
0.99,2018,False,"['Casual', 'Indie', 'Simulation']"
8.99,2018,False,"['Action', 'Adventure', 'RPG']"
0.99,2018,False,"['Adventure', 'Casual', 'Indie', 'RPG']"
6.99,2006,False,['Strategy']
6.99,2006,False,['Strategy']
9.99,2006,False,"['Action', 'Indie', 'RPG']"
7.99,2017,True,"['Action', 'Indie', 'Strategy', 'Early Access']"
10.99,2017,False,"['Action', 'Adventure', 'Indie', 'RPG']"
9.99,2017,True,"['Casual', 'Strategy', 'Early Access']"
9.99,2017,False,"['Action', 'Indie']"
1.99,2017,False,"['Action', 'Adventure', 'Casual']"
0.99,2017,False,"['Adventure', 'Casual', 'Free to Play', 'Indie']"
9.99,2005,False,['Action']
9.99,2006,False,"['Indie', 'Strategy']"
9.99,2006,False,"['Action', 'Indie', 'RPG']"
9.99,2006,False,"['Indie', 'Simulation']"
39.99,2006,False,['Racing']
0.0,2006,False,"['Casual', 'Indie']"
4.99,2006,False,"['Casual', 'Indie']"
4.99,2003,False,['Strategy']
4.99,2006,False,['Strategy']
19.99,2006,False,"['Adventure', 'RPG']"
9.99,2006,False,['Racing']
7.49,2005,False,['Racing']
14.99,2007,False,"['Action', 'Adventure']"
9.99,2006,False,['Strategy']
4.99,2002,False,['RPG']
9.99,2000,False,"['Action', 'Adventure', 'RPG']"
4.99,2006,False,['Strategy']
9.99,2003,False,['Strategy']
9.99,2006,False,['Strategy']
4.99,1998,False,['Strategy']
4.99,2007,False,"['Casual', 'Indie']"
4.99,1995,False,['Strategy']
8.99,2007,False,"['Action', 'Adventure']"
19.99,2006,False,['Action']
19.99,2006,False,"['Action', 'Adventure']"
4.99,1996,False,['Action']
19.99,2006,False,"['Action', 'Adventure']"
4.99,1995,False,['Action']
14.99,1995,False,['Action']
4.99,1994,False,['Action']
4.99,1994,False,['Action']
4.99,2001,False,['Action']
2.99,1997,False,['Action']
2.99,1993,False,['Action']
9.99,2003,False,['Action']
2.99,2007,False,['Action']
4.99,2007,False,['Action']
4.99,2007,False,['Strategy']
12.99,2006,False,['Strategy']
19.99,2007,False,"['Action', 'RPG']"
12.99,2006,False,['Strategy']
12.99,2006,False,['Strategy']
9.99,2004,False,['Strategy']
4.99,2006,False,['Strategy']
6.99,2007,False,['Casual']
9.99,2004,False,['Action']
9.99,2003,False,['Racing']
9.99,2003,False,['Action']
6.99,2006,False,"['Action', 'Adventure']"
9.99,2001,False,['Action']
19.99,2008,False,['Strategy']
9.99,2007,False,['Casual']
9.99,2007,False,"['RPG', 'Casual', 'Adventure']"
9.99,2007,False,['Strategy']
9.99,2007,False,"['Action', 'Adventure', 'Strategy']"
9.99,2007,False,['Racing']
5.99,2008,False,['Action']
7.99,2007,False,['Action']
9.99,2006,False,['Simulation']
9.99,2006,False,['Action']
4.99,2007,False,"['Action', 'Adventure']"
2.99,2006,False,['Action']
19.99,2006,False,"['Simulation', 'Strategy']"
2.99,2005,False,['Action']
14.99,2003,False,['Action']
9.99,1998,False,['Action']
4.99,2008,False,"['Casual', 'Indie']"
9.99,2003,False,['Action']
9.99,2004,False,['Action']
9.99,2000,False,['Action']
9.99,2006,False,['Action']
9.99,2005,False,['Simulation']
9.99,2008,False,"['Casual', 'Simulation']"
4.99,2008,False,['Casual']
9.99,2008,False,['Casual']
9.99,2008,False,['Casual']
9.99,2008,False,['Casual']
9.99,2008,False,['Casual']
9.99,2005,False,['Casual']
9.99,2007,False,['Casual']
9.99,2007,False,['Simulation']
9.99,2005,False,['Casual']
9.99,2007,False,"['Action', 'Adventure']"
9.99,2007,False,['Simulation']
9.99,2006,False,['Simulation']
9.99,2008,False,['Simulation']
9.99,2005,False,['Adventure']
9.99,2005,False,['Racing']
9.99,2006,False,['Adventure']
9.99,2008,False,['Racing']
9.99,2007,False,['Simulation']
9.99,2007,False,['Casual']
9.99,2008,False,['Adventure']
9.99,2008,False,"['Adventure', 'RPG']"
4.99,2008,False,"['Adventure', 'Indie']"
7.99,2007,False,"['Simulation', 'Strategy']"
4.99,2008,False,"['Action', 'Indie']"
19.99,2008,False,['Racing']
2.99,1998,False,['Adventure']
2.99,1997,False,['Adventure']
7.99,2008,False,['Racing']
4.99,2001,False,['Strategy']
4.99,1997,False,['Strategy']
4.99,1993,False,['Strategy']
9.99,2008,False,"['Action', 'RPG']"
19.99,2008,False,['Action']
19.99,2007,False,['Action']
4.99,1998,False,['Strategy']
9.99,2008,False,"['Action', 'RPG']"
9.99,2008,False,['Indie']
2.99,2008,False,['Racing']
2.49,2008,False,"['Strategy', 'Simulation']"
19.99,2008,False,['Strategy']
9.99,2003,False,['Action']
19.99,2008,False,"['Action', 'Adventure']"
9.99,2008,False,"['Simulation', 'Strategy']"
9.99,2008,False,"['RPG', 'Strategy']"
9.99,2008,False,['Action']
4.99,2008,False,"['Indie', 'Casual']"
4.99,2006,False,['Racing']
9.99,2006,False,['Strategy']
9.99,2005,False,['Action']
9.99,2007,False,['Strategy']
19.99,2008,False,['Strategy']
9.99,2007,False,['Casual']
9.99,2002,False,['Action']
4.99,2008,False,['Casual']
9.99,2008,False,['Indie']
15.99,2008,False,"['Action', 'Simulation', 'Strategy']"
0.0,2008,False,['Action']
4.99,2008,False,"['Casual', 'Indie']"
19.99,2008,False,"['Indie', 'Casual', 'Sports']"
14.99,2008,False,"['Action', 'Adventure']"
9.99,2008,False,['Action']
4.99,2008,False,"['Action', 'Indie', 'Strategy']"
4.99,2009,False,['Simulation']
4.99,2009,False,['Simulation']
4.99,2009,False,['Simulation']
4.99,2009,False,['Simulation']
4.99,2009,False,['Simulation']
4.99,2009,False,['Simulation']
4.99,2009,False,['Simulation']
9.99,2009,False,['Action']
19.99,2008,False,['Action']
9.99,2008,False,['RPG']
19.99,2009,False,"['Action', 'Adventure']"
9.99,2008,False,"['Indie', 'Strategy']"
14.99,2009,False,['Action']
7.99,2008,False,"['Strategy', 'Indie']"
9.99,2007,False,"['Indie', 'Strategy']"
4.99,2009,False,"['Action', 'Indie']"
9.99,2005,False,['Strategy']
5.99,2009,False,"['Action', 'Adventure', 'Strategy']"
2.99,2009,False,['Strategy']
4.99,2009,False,['Action']
9.99,2007,False,"['Action', 'Adventure', 'Indie']"
19.99,2007,False,['Action']
9.99,2009,False,['RPG']
4.99,2008,False,"['Indie', 'Simulation']"
19.99,2009,False,['Racing']
9.99,2009,False,"['Action', 'Indie']"
1.25,2009,False,"['Action', 'Indie']"
1.25,2009,False,"['Action', 'Indie']"
4.99,2009,False,"['Casual', 'Indie']"
9.99,2009,False,['Indie']
14.99,2009,False,"['Simulation', 'Strategy']"
4.99,2009,False,['Casual']
19.99,2006,False,"['RPG', 'Massively Multiplayer']"
19.99,2005,False,"['RPG', 'Massively Multiplayer']"
19.99,2006,False,"['RPG', 'Massively Multiplayer']"
29.99,2008,False,"['Massively Multiplayer', 'RPG']"
14.99,2009,False,['Casual']
9.99,2009,False,['Casual']
9.99,2009,False,['RPG']
9.99,2009,False,['Strategy']
9.99,2009,False,"['Action', 'Adventure', 'RPG']"
9.99,2009,False,"['Action', 'Indie']"
1.25,2009,False,['Indie']
6.99,2008,False,"['RPG', 'Strategy']"
9.99,2009,False,"['Casual', 'Simulation']"
2.99,2009,False,['Racing']
4.99,2005,False,"['RPG', 'Strategy']"
4.99,2002,False,"['RPG', 'Strategy']"
14.99,2009,False,"['Indie', 'Simulation', 'Strategy']"
0.0,2009,False,"['Action', 'Simulation']"
19.99,2009,False,"['Action', 'Adventure']"
4.99,2009,False,"['Adventure', 'Indie']"
