release_year,id,app_name
2017,381620,Life of Rome
2017,759920,Souland
2017,753110,Chronicles of Vinland
2014,280720,Imagine Earth
2013,249630,Delver
2013,244930,SNOW
2013,108600,Project Zomboid
2013,252770,Vox
2013,248630,Kingdoms Rise
2013,252250,Maia
2014,266370,Calibre 10 Racing
2014,282880,FaeVerse Alchemy
2014,227780,Serious Sam Classics: Revolution
2014,296750,The Final Stand
2014,282740,Organic Panic
2014,285110,GearCity
2014,242760,The Forest
2014,263040,Bot Colony
2014,307090,Fancy Skulls
2014,298280,XenoRaptor
2016,302590,Of Guards And Thieves
2014,291370,Undead Overlord
2014,266470,Dark Horizons: Mechanized Corps
2014,314230,Rodina
2014,308080,Altitude0: Lower & Faster
2014,276870,Dwelvers
2014,321310,Zen Fish SIM
2014,330520,Tail Drift
2014,299740,Miscreated
2014,315540,The Joylancer: Legendary Motor Knight
2014,330460,Celestial Command
2014,332570,Amazing Frog?
2014,326160,Shroud of the Avatar: Forsaken Virtues
2014,282960,Atajrubah
2016,327960,Journey of the King
2014,293480,FRONTIERS
2014,338030,Mission Control: NanoMech
2014,302830,BLOCKADE 3D
2015,340570,WolfWars
2014,328740,Bit Odyssey
2015,313120,Stranded Deep
2015,339240,10 Years After
2015,347560,Terra Incognita ~ Chapter One: The Descendant
2015,324360,TOTM
2015,347940,Forsaken Isle
2015,349450,Dark Forester
2015,329890,MyRPG Master
2015,345710,Damned Nation Reborn
2015,344220,Janky Tanks
2015,315840,Catacomb Kids
2015,342560,Airships: Conquer the Skies
2015,346800,Damnation City of Death
2015,351170,Pixel: ru²
2015,293760,Automation - The Car Company Tycoon Game
2015,339530,Factions: Origins of Malu
2015,355420,FLAMBERGE
2015,329970,KeeperRL
2017,357770,The District
2015,355840,Survarium
2015,340810,Deepworld
2015,365290,House of Nightmares B-Movie Edition
2015,341710,Crest - an indirect god sim
2015,366290,Carp Fishing Simulator
2015,293220,H-Hour: World's Elite
2015,362940,Courier of the Crypts
2015,366060,Teddy Terror
2015,346970,OBEY
2015,339560,Man Alive
2015,305510,Servo
2015,284160,BeamNG.drive
2015,375530,Football Tactics
2015,368720,Sirius Online
2015,356510,Soccer Rage
2015,253250,Stonehearth
2015,369190,Shoot 'Em Up Kit
2015,372740,Second Warfare
2015,373750,DinoSystem
2015,378370,Nomad
2015,366860,Spy Bugs
2015,375550,DungeonRift
2015,383010,JamG
2015,269770,Secrets of Grindea
2015,384900,Temporal Shift
2015,375870,SLIDE: platformer
2015,382480,Super Dungeon Run
2015,386600,Pixel Fodder
2015,362310,Dungeon League
2015,340960,Pulsen
2015,341010,Pluck
2015,317730,REVERSE SIDE
2015,377220,Deficis
2015,280010,Gunjitsu
2015,340530,Soccer Legends
2015,383120,Empyrion - Galactic Survival
2015,250540,C-Wars
2015,395150,Dark Storm: VR Missions
2015,395480,Mr Makeshifter
2015,386340,MegaSphere
2015,336440,Super Cane Magic ZERO
2015,315330,All Guns On Deck
2015,372340,SnarfQuest Tales
2015,402160,Star Command Galaxies
2015,324190,CodeSpells
2015,344820,Forsaken Fortress Strategy
2015,391520,Labyrinth Simulator
2015,392690,Erwin's Timewarp
2015,398250,Moonstrider
2015,386590,Novus Inceptio
2015,309900,Super Sky Arena
2015,263920,Zombie Grinder
2015,407700,Lonath Online
2015,391190,Dolguth
2015,330570,Noct
2015,404750,Carrotting Brain
2015,324470,SinaRun
2015,327000,Infinite Game Works Episode 1
2015,407620,Indie Game Battle
2015,408440,Dream Factory
2015,369270,Megatect
2015,341570,Throbax TD
2015,409490,Rogue Harvest
2015,414070,Shut Up And Dig
2015,397360,Magician's Apprentice
2015,266190,Astral Terra
2015,402970,Fringes of the Empire
2015,418110,March of War: FaceOff - XL
2015,405010,Bitardia
2015,416260,The Lost Island
2015,413490,Rothschild: The Sheep Will Wake
2015,381750,RC Simulation 2.0
2015,412860,Zombie Office Politics
2015,393420,Hurtworld
2016,418430,Survive Me Miolhr
2015,421110,AWAKE
2015,217120,Waves 2
2015,413740,Mines of Mars
2015,427950,The Withering
2015,414770,Bionite: Origins
2016,422940,Divergence: Online
2016,374170,Sniper Tactical
2016,383020,a Family of Grave Diggers
2016,429050,Feed and Grow: Fish
2016,349150,Dead TrailZ
2016,358080,No Turning Back: The Pixel Art Action-Adventure Roguelike
2016,387990,Scrap Mechanic
2016,435230,Medieval Playground
2016,409340,Perraw - FPS Clone War Alpha
2016,438440,Star Rogue
2016,389050,Pocket Rumble
2016,428180,Islet Online
2016,422420,Godus Wars
2016,346610,Racecraft
2016,440770,Drawn Story
2016,429020,LONE WOLF: Horizon
2016,339440,Critical Annihilation
2016,393390,Cat Simulator
2016,415860,Tactical Craft Online
2016,436510,Worlds of Chaos: Invasion
2016,439740,Eclipsed
2016,433850,H1Z1
2016,434530,Flobe
2016,336210,Just Death
2016,373410,The Kindred
2016,412130,Era of Majesty
2016,433960,Shadow Of Nebula
2016,412310,Labyrinth
2016,444460,Love is Blind: Mutants
2016,397100,MachineCraft
2016,424850,Galactineers
2016,393820,At the Mountains of Madness
2016,440720,Pandora`s room
2016,448570,Origin Of Destiny: Crimson Awakening
2016,420550,Super Arcade Football
2016,458030,StarFringe: Adversus
2016,394010,The Contact
2016,436410,Beyond The Destiny
2016,455980,Judgment: Apocalypse Survival Simulation
2016,377140,Hide & Hold Out - H2o
2016,405530,Veer
2016,432720,Welkin Road
2016,461400,Massive
2016,432480,Grenade Madness
2016,300260,Planetoid Pioneers
2016,446020,Jalopy
2016,379210,Wayward
2016,458830,Snooker Nation Championship
2016,463240,Magma Chamber
2016,329280,Avalon Lords: Dawn Rises
2016,454560,Ultimate Fight Manager 2016
2016,340680,Bunny Bash
2016,465000,Event Horizon
2016,465020,Sector Six
2016,396700,Hover Cubes: Arena
2016,321400,Supraball
2016,453090,Parkitect
2016,444670,SUPER IMPOSSIBLE ROAD
2016,388830,TribeQuest: Red Killer
2016,436470,Gamma Bros 1.5
2016,454260,The HinterLands
2016,391550,Beyond Flesh and Blood
2016,385380,Planet Centauri
2016,432030,Swanky Paint
2016,463870,Deathwave
2016,450240,Bullet Force
2016,458330,Vilmonic
2016,455990,Smash Pixel Racing
2016,491760,Screeps CPU Subscription
2016,437340,Toys of War
2016,497270,MIGHT
2016,461720,Tank Blast
2016,444620,SpellKnights
2016,393930,RoShamBo
2016,493280,WALLSLIDE
2016,294100,RimWorld
2016,498700,The Ember Saga: A New Fire
2016,475960,Bombslinger
2016,346330,BrainBread 2
2016,501740,Dropship Down
2016,467900,SWORDY
2016,431360,The Legend: A University Story
2016,496510,M.EXE
2016,499230,SurvHive
2016,492340,Pixel Cup Soccer 17
2016,328510,Monsters and Monocles
2016,514410,Gun Brothers
2016,462930,AdVenture Communist
