release_year,genres
2018,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']"
2018,"['Free to Play', 'Indie', 'RPG', 'Strategy']"
2017,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']"
2017,"['Action', 'Adventure', 'Casual']"
2018,"['Action', 'Adventure', 'Simulation']"
2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
2018,"['Casual', 'Indie', 'Racing', 'Simulation']"
2018,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
2018,"['Casual', 'Indie']"
2018,"['Casual', 'Indie', 'Simulation']"
2018,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']"
2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
2018,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']"
2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
2018,"['Action', 'Adventure', 'Indie']"
2017,"['Racing', 'Simulation', 'Sports']"
2017,"['Racing', 'Simulation', 'Sports']"
2018,"['Action', 'Indie']"
1997,"['Action', 'Indie', 'Racing']"
1998,['Action']
2016,"['Action', 'Indie', 'RPG']"
2018,"['Casual', 'Indie', 'Strategy']"
2018,['Action']
2018,"['Casual', 'Indie', 'Simulation']"
2018,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']"
2017,"['Adventure', 'Casual', 'Indie']"
2018,"['Action', 'Adventure', 'RPG']"
2018,"['Adventure', 'Casual', 'Indie', 'RPG']"
2006,['Strategy']
2006,['Strategy']
2006,"['Action', 'Indie', 'RPG']"
2017,"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']"
2017,"['Action', 'Indie', 'Strategy', 'Early Access']"
2018,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']"
2017,"['Action', 'Adventure', 'Indie', 'RPG']"
2017,"['Casual', 'Strategy', 'Early Access']"
2017,"['Action', 'Indie']"
2017,"['Action', 'Adventure', 'Casual']"
2017,"['Adventure', 'Casual', 'Free to Play', 'Indie']"
2005,['Action']
2006,"['Indie', 'Strategy']"
2006,"['Action', 'Indie', 'RPG']"
2006,"['Indie', 'Simulation']"
2006,['Racing']
2006,"['Casual', 'Indie']"
2006,"['Casual', 'Indie']"
2003,['Strategy']
2006,['Strategy']
2006,"['Adventure', 'RPG']"
2006,['Racing']
2005,['Racing']
2007,"['Action', 'Adventure']"
2006,['Strategy']
2002,['RPG']
2000,"['Action', 'Adventure', 'RPG']"
2006,['Strategy']
2003,['Strategy']
2006,['Strategy']
1998,['Strategy']
2007,"['Casual', 'Indie']"
1995,['Strategy']
2007,"['Action', 'Adventure']"
2006,['Action']
2006,"['Action', 'Adventure']"
1996,['Action']
2007,"['Indie', 'RPG']"
2006,"['Action', 'Adventure']"
1995,['Action']
